lncRNA_ID,lncRNA_Class,mRNA_ID
STRG.1955.1,overlapping,XM_012714215.2
STRG.1955.1,overlapping,XM_027332587.1
STRG.1955.1,overlapping,XM_012714216.2
STRG.1958.1,antisense,XM_004494920.3
STRG.1959.1,overlapping,XM_004494922.3
STRG.1959.1,overlapping,XM_027333138.1
STRG.196.1,overlapping,XR_003471330.1
STRG.1960.1,overlapping,XM_027334076.1
STRG.1961.1,overlapping,XR_003472470.1
STRG.1961.1,overlapping,XR_003472457.1
STRG.1961.1,overlapping,XR_003472456.1
STRG.1961.1,overlapping,XR_003472460.1
STRG.1961.1,overlapping,XR_003472466.1
STRG.1961.1,overlapping,XR_003472468.1
STRG.1961.1,overlapping,XR_003472469.1
STRG.1961.1,overlapping,XR_003472476.1
STRG.1961.1,overlapping,XR_003472479.1
STRG.1961.1,overlapping,XR_003472458.1
STRG.1961.1,overlapping,XR_003472462.1
STRG.1961.1,overlapping,XR_003472463.1
STRG.1961.1,overlapping,XR_003472461.1
STRG.1961.1,overlapping,XR_003472474.1
STRG.1961.1,overlapping,XR_003472478.1
STRG.1961.1,overlapping,XR_003472465.1
STRG.1961.1,overlapping,XR_003472475.1
STRG.1961.1,overlapping,XR_003472472.1
STRG.1961.1,overlapping,XR_003472471.1
STRG.1961.1,overlapping,XM_027333779.1
STRG.1961.1,intronic,XR_003472477.1
STRG.1961.1,intronic,XR_003472464.1
STRG.1961.1,overlapping,XR_003472467.1
STRG.1961.1,overlapping,XR_003472473.1
STRG.1961.1,overlapping,XR_003472459.1
STRG.1961.2,overlapping,XR_003472457.1
STRG.1961.2,overlapping,XR_003472470.1
STRG.1961.2,overlapping,XR_003472459.1
STRG.1961.2,intronic,XR_003472464.1
STRG.1961.2,intronic,XR_003472477.1
STRG.1961.2,overlapping,XR_003472460.1
STRG.1961.2,intronic,XR_003472467.1
STRG.1961.2,intronic,XR_003472473.1
STRG.1961.2,overlapping,XM_027333779.1
STRG.1961.2,overlapping,XR_003472466.1
STRG.1961.2,overlapping,XR_003472456.1
STRG.1961.2,overlapping,XR_003472468.1
STRG.1961.2,overlapping,XR_003472469.1
STRG.1961.2,overlapping,XR_003472476.1
STRG.1961.2,overlapping,XR_003472479.1
STRG.1961.2,intronic,XR_003472458.1
STRG.1961.2,intronic,XR_003472462.1
STRG.1961.2,intronic,XR_003472463.1
STRG.1961.2,intronic,XR_003472461.1
STRG.1961.2,intronic,XR_003472474.1
STRG.1961.2,intronic,XR_003472478.1
STRG.1961.2,intronic,XR_003472475.1
STRG.1961.2,overlapping,XR_003472465.1
STRG.1962.1,intronic,XR_003472467.1
STRG.1962.1,intronic,XR_003472473.1
STRG.1963.1,overlapping,XM_004494923.3
STRG.1964.1,overlapping,XR_003472606.1
STRG.1965.1,overlapping,XR_003472334.1
STRG.1965.1,overlapping,XM_012714287.2
STRG.1966.1,overlapping,XM_004494927.3
STRG.1967.1,intronic,XR_003472238.1
STRG.1968.1,overlapping,XM_012714292.1
STRG.1969.1,overlapping,XM_012714292.1
STRG.197.1,intronic,XR_003471330.1
STRG.1972.1,intronic,XM_027334151.1
STRG.1973.1,antisense,XM_004494947.3
STRG.1974.1,overlapping,XM_027334089.1
STRG.1975.1,overlapping,XM_004494950.3
STRG.1976.1,intronic,XM_012714260.2
STRG.1977.1,intronic,XM_012714261.2
STRG.1977.1,intronic,XM_012714260.2
STRG.1978.1,overlapping,XR_003472261.1
STRG.1979.1,overlapping,XM_004494967.3
STRG.198.1,antisense,XM_004486771.3
STRG.198.1,intronic,XR_003471332.1
STRG.198.1,overlapping,XR_003471331.1
STRG.1980.1,intronic,XM_027333918.1
STRG.1980.1,intronic,XM_027333919.1
STRG.1981.1,intronic,XM_012714281.2
STRG.1982.1,overlapping,XM_004494988.3
STRG.1984.1,intronic,XM_004495011.3
STRG.1985.1,overlapping,XR_003472621.1
STRG.1986.1,antisense,XM_004495022.1
STRG.1986.1,antisense,XM_027333787.1
STRG.1987.1,overlapping,XM_004495030.3
STRG.1987.1,overlapping,XR_189621.3
STRG.1987.1,overlapping,XM_004495031.3
STRG.1988.1,antisense,XM_004495033.3
STRG.1989.1,antisense,XM_004495048.3
STRG.199.1,overlapping,XM_027334363.1
STRG.1990.1,overlapping,XR_003472366.1
STRG.1990.1,antisense,XM_004495228.3
STRG.1991.1,antisense,XM_004495051.2
STRG.1992.1,intronic,XR_003472192.1
STRG.1992.1,antisense,XM_004495061.3
STRG.1993.1,antisense,XM_004495061.3
STRG.1994.1,overlapping,XR_003472193.1
STRG.1994.1,antisense,XM_004495061.3
STRG.1995.1,overlapping,XM_004495078.3
STRG.1996.1,overlapping,XM_004495101.3
STRG.1997.1,antisense,XM_027333740.1
STRG.1997.1,antisense,XM_027333739.1
STRG.1997.1,antisense,XM_012714338.2
STRG.1997.1,antisense,XM_027333741.1
STRG.1997.1,antisense,XM_012714339.2
STRG.1997.1,antisense,XM_012714340.2
STRG.1997.1,antisense,XM_027333737.1
STRG.1998.1,overlapping,XM_027333908.1
STRG.1998.1,overlapping,XM_012714308.2
STRG.1998.1,overlapping,XM_027333906.1
STRG.1998.1,overlapping,XM_027333907.1
STRG.1998.1,overlapping,XM_027333910.1
STRG.1998.1,overlapping,XM_027333911.1
STRG.1998.1,overlapping,XM_027333912.1
STRG.1998.1,overlapping,XM_027333913.1
STRG.1998.1,overlapping,XM_027333909.1
STRG.1999.1,antisense,XM_004495122.3
STRG.1999.1,antisense,XM_004495123.3
STRG.1999.1,intronic,XR_003472596.1
STRG.1999.1,antisense,XM_004495121.3
STRG.20.1,overlapping,XR_003474564.1
STRG.200.1,overlapping,XM_004486795.3
STRG.200.1,overlapping,XM_012715549.2
STRG.2000.1,intronic,XR_003472295.1
STRG.2001.1,overlapping,XM_004495160.3
STRG.2002.1,overlapping,XR_003472364.1
STRG.2002.1,overlapping,XM_027333381.1
STRG.2002.1,antisense,XM_004495169.3
STRG.2002.1,antisense,XM_012714310.2
STRG.2003.1,overlapping,XM_004495173.3
STRG.2004.1,intronic,XM_004495181.2
STRG.2005.1,overlapping,XM_004495183.3
STRG.2005.1,overlapping,XM_027333970.1
STRG.2006.1,intronic,XM_027333970.1
STRG.2007.1,intronic,XM_027333970.1
STRG.2008.1,antisense,XM_004495185.3
STRG.2009.1,intronic,XM_004495186.3
STRG.2009.1,intronic,XM_012714331.2
STRG.2009.1,intronic,XM_027333872.1
STRG.201.1,antisense,XM_012716052.2
STRG.201.1,antisense,XM_012716050.2
STRG.2010.1,intronic,XM_027333168.1
STRG.2010.1,intronic,XM_004495201.3
STRG.2010.1,intronic,XM_027333169.1
STRG.2011.1,intronic,XR_003472670.1
STRG.2012.1,overlapping,XM_004495247.3
STRG.2013.1,overlapping,XR_003472631.1
STRG.2014.1,overlapping,XM_012714375.2
STRG.2015.1,overlapping,XR_189628.3
STRG.2015.1,overlapping,XR_001143625.2
STRG.2015.2,overlapping,XR_189628.3
STRG.2015.2,overlapping,XR_001143625.2
STRG.2017.1,antisense,XM_004495263.3
STRG.2018.1,overlapping,XR_003472510.1
STRG.2018.1,overlapping,XR_001143626.2
STRG.2018.1,overlapping,XR_003472508.1
STRG.2018.1,overlapping,XR_003472511.1
STRG.2018.1,overlapping,XR_003472507.1
STRG.2018.1,intronic,XR_001143627.2
STRG.2018.1,intronic,XR_003472509.1
STRG.2018.1,antisense,XM_004495279.3
STRG.2018.1,antisense,XM_027333838.1
STRG.2019.1,antisense,XM_027333146.1
STRG.2019.1,antisense,XM_027333145.1
STRG.2019.1,antisense,XM_012714393.2
STRG.2019.1,antisense,XM_027333144.1
STRG.2019.1,antisense,XR_003472196.1
STRG.202.1,overlapping,XR_189305.3
STRG.202.1,overlapping,XM_012715423.2
STRG.202.1,overlapping,XM_004486834.3
STRG.202.1,overlapping,XR_189304.3
STRG.202.1,overlapping,XM_012716184.2
STRG.202.1,overlapping,XR_003471338.1
STRG.202.1,overlapping,XR_003471339.1
STRG.202.1,overlapping,XM_012716168.2
STRG.202.1,overlapping,XM_027331542.1
STRG.202.1,overlapping,XM_027331546.1
STRG.202.1,overlapping,XM_004486827.3
STRG.202.1,overlapping,XM_004486830.3
STRG.202.1,overlapping,XM_027331543.1
STRG.202.1,overlapping,XM_027331540.1
STRG.202.1,overlapping,XM_012716185.2
STRG.202.1,overlapping,XM_012716180.2
STRG.202.1,overlapping,XM_027331544.1
STRG.202.1,overlapping,XM_004486828.2
STRG.202.1,overlapping,XM_004486826.2
STRG.202.1,overlapping,XM_004486829.3
STRG.202.1,overlapping,XM_027331545.1
STRG.202.1,overlapping,XM_027331541.1
STRG.2020.1,overlapping,unassigned_transcript_197
STRG.2020.1,intronic,XM_027334131.1
STRG.2021.1,antisense,XM_004495289.3
STRG.2021.1,overlapping,unassigned_transcript_198
STRG.2022.1,overlapping,XM_012714361.2
STRG.2022.1,overlapping,XM_004495401.3
STRG.2023.1,overlapping,XM_004495297.3
STRG.2024.1,intronic,XM_027334132.1
STRG.2025.1,intronic,XM_027334132.1
STRG.2026.1,antisense,XR_003472414.1
STRG.2026.1,intronic,XM_004495324.3
STRG.2027.1,overlapping,XM_004495363.3
STRG.2028.1,intronic,XR_003472420.1
STRG.2028.1,intronic,XR_003472419.1
STRG.2029.1,antisense,XM_004495369.3
STRG.2029.1,intronic,XR_003472425.1
STRG.203.1,overlapping,XM_004486867.3
STRG.203.1,overlapping,XM_012714988.2
STRG.2030.1,antisense,XR_003472583.1
STRG.2031.1,overlapping,XM_027333246.1
STRG.2031.1,overlapping,XM_027333247.1
STRG.2031.1,overlapping,XM_004495390.3
STRG.2032.1,overlapping,XM_027334057.1
STRG.2032.1,overlapping,XM_027334056.1
STRG.2032.1,overlapping,XM_027334055.1
STRG.2032.1,overlapping,XM_004495417.3
STRG.2032.1,overlapping,XM_004495418.3
STRG.2032.2,overlapping,XM_027334055.1
STRG.2032.2,overlapping,XM_027334057.1
STRG.2032.2,overlapping,XM_027334056.1
STRG.2032.2,overlapping,XM_004495417.3
STRG.2032.2,overlapping,XM_004495418.3
STRG.2034.1,overlapping,XR_003472365.1
STRG.2034.1,overlapping,XR_001143637.2
STRG.2034.2,overlapping,XR_001143637.2
STRG.2034.2,overlapping,XR_003472365.1
STRG.2035.1,intronic,XM_004495954.3
STRG.2036.1,antisense,XM_027333933.1
STRG.2037.1,overlapping,XM_027333407.1
STRG.2037.1,overlapping,XM_027333409.1
STRG.2037.1,overlapping,XM_027333414.1
STRG.2037.1,overlapping,XM_027333406.1
STRG.2037.1,overlapping,XM_027333413.1
STRG.2037.1,overlapping,XM_027333411.1
STRG.2037.1,overlapping,XM_027333412.1
STRG.2037.1,overlapping,XM_012714439.2
STRG.2037.1,overlapping,XM_027333405.1
STRG.2037.1,overlapping,XM_027333408.1
STRG.2037.1,overlapping,XR_003472317.1
STRG.2037.1,overlapping,XM_027333410.1
STRG.2038.1,antisense,XM_012714476.2
STRG.2039.1,overlapping,XR_003472595.1
STRG.2039.1,antisense,XM_004495490.3
STRG.204.1,intronic,XM_004486874.3
STRG.204.1,intronic,XM_027331575.1
STRG.2040.1,antisense,XM_004495504.3
STRG.2040.1,antisense,XM_027333810.1
STRG.2040.1,antisense,XM_027333811.1
STRG.2041.1,antisense,XM_004495506.2
STRG.2042.1,antisense,XM_027333967.1
STRG.2043.1,intronic,XR_001143632.2
STRG.2043.1,intronic,XM_012714435.2
STRG.2043.1,intronic,XM_027333325.1
STRG.2043.1,intronic,XM_012714434.2
STRG.2043.1,intronic,XM_027333322.1
STRG.2043.1,intronic,XM_027333323.1
STRG.2043.1,intronic,XM_012714433.2
STRG.2044.1,overlapping,XM_027333323.1
STRG.2044.1,overlapping,XR_001143632.2
STRG.2044.1,overlapping,XM_012714435.2
STRG.2044.1,overlapping,XM_027333325.1
STRG.2044.1,overlapping,XM_012714434.2
STRG.2044.1,overlapping,XM_027333322.1
STRG.2044.1,overlapping,XM_012714433.2
STRG.2045.1,intronic,XR_003472449.1
STRG.2045.1,antisense,XR_003472448.1
STRG.2045.1,antisense,XR_003472447.1
STRG.2046.1,antisense,XM_004495540.3
STRG.2047.1,intronic,XM_004495546.3
STRG.2047.1,intronic,XR_003472494.1
STRG.2047.1,intronic,XR_003472495.1
STRG.2047.1,intronic,XM_027333824.1
STRG.2047.1,intronic,XM_027333825.1
STRG.2047.1,intronic,XM_012714540.2
STRG.2047.1,intronic,XM_027333826.1
STRG.2047.1,intronic,XM_012714541.2
STRG.2047.1,intronic,XM_012714542.2
STRG.2047.1,intronic,XM_012714543.2
STRG.2048.1,overlapping,XR_003472623.1
STRG.205.1,intronic,XM_012716398.2
STRG.2050.1,overlapping,XM_027333139.1
STRG.2050.1,overlapping,XM_004495732.3
STRG.2050.1,overlapping,XM_012714421.2
STRG.2051.1,overlapping,XM_004495729.3
STRG.2051.1,overlapping,XM_004495730.3
STRG.2052.1,intronic,XM_027333372.1
STRG.2052.1,intronic,XM_027333373.1
STRG.2053.1,antisense,XM_004495962.2
STRG.2054.1,antisense,XM_027333364.1
STRG.2055.1,overlapping,XM_004495717.3
STRG.2056.1,overlapping,XM_004495708.3
STRG.2057.1,intronic,XM_027333510.1
STRG.2057.1,intronic,XM_027333505.1
STRG.2057.1,intronic,XM_027333504.1
STRG.2057.1,intronic,XM_027333506.1
STRG.2057.1,intronic,XM_027333507.1
STRG.2057.1,intronic,XM_027333509.1
STRG.2057.1,intronic,XM_012714406.2
STRG.2057.1,intronic,XM_027333508.1
STRG.2058.1,overlapping,XR_003472401.1
STRG.2059.1,overlapping,XM_012714515.2
STRG.2059.1,overlapping,XM_004495680.3
STRG.2059.1,overlapping,XM_004495681.3
STRG.206.1,antisense,XM_004486877.3
STRG.2060.1,antisense,XM_004495676.2
STRG.2061.1,intronic,XM_004495667.3
STRG.2061.1,intronic,XM_012714520.2
STRG.2061.1,intronic,XM_004495665.3
STRG.2061.1,intronic,XM_012714521.2
STRG.2061.1,intronic,XM_012714523.2
STRG.2061.1,intronic,XM_004495666.3
STRG.2062.1,overlapping,XM_004495967.2
STRG.2063.1,antisense,XM_004495657.3
STRG.2064.1,intronic,XM_004495656.3
STRG.2065.1,antisense,XM_004495655.3
STRG.2066.1,overlapping,XM_004495639.3
STRG.2067.1,overlapping,XR_003472715.1
STRG.2067.1,overlapping,XM_004495635.3
STRG.2069.1,antisense,XM_004495632.3
STRG.2069.1,antisense,XR_003472484.1
STRG.2069.1,overlapping,XR_003472485.1
STRG.207.1,intronic,XM_027334918.1
STRG.207.1,intronic,XM_012715340.2
STRG.207.1,antisense,XR_003472999.1
STRG.2070.1,overlapping,XR_001143634.2
STRG.2071.1,antisense,XM_004495630.3
STRG.2073.1,antisense,XM_004495970.3
STRG.2074.1,intronic,XM_012714442.2
STRG.2075.1,overlapping,XM_012714442.2
STRG.2076.1,antisense,XM_004495616.3
STRG.2077.1,intronic,XM_004495604.3
STRG.2078.1,intronic,XR_003472380.1
STRG.2079.1,overlapping,XR_003472648.1
STRG.208.1,overlapping,XM_027336426.1
STRG.2080.1,overlapping,NM_001364908.1
STRG.2080.1,overlapping,XR_003472177.1
STRG.2081.1,overlapping,XM_004495572.3
STRG.2081.1,overlapping,XM_004495573.3
STRG.2082.1,overlapping,XM_004495561.3
STRG.2082.1,overlapping,XM_004495562.3
STRG.2082.1,overlapping,XM_012714422.2
STRG.2083.1,overlapping,XM_004495750.3
STRG.2084.1,antisense,XM_004495751.3
STRG.2084.1,antisense,XM_012714506.2
STRG.2085.1,antisense,XM_027334106.1
STRG.2087.1,antisense,XM_004495770.3
STRG.2088.1,overlapping,XM_012714461.2
STRG.2089.1,overlapping,XM_012714457.2
STRG.209.1,intronic,XM_027335448.1
STRG.2090.1,intronic,XR_003472254.1
STRG.2090.1,antisense,XM_027333233.1
STRG.2090.1,antisense,XM_004495796.3
STRG.2091.1,overlapping,XR_003472652.1
STRG.2091.1,antisense,XM_012714429.2
STRG.2092.1,antisense,XM_027333326.1
STRG.2092.1,antisense,XM_004495822.2
STRG.2093.1,overlapping,XM_012714458.2
STRG.2095.1,overlapping,XM_004495846.2
STRG.2096.1,overlapping,XM_004495849.3
STRG.2097.1,antisense,XM_004495854.3
STRG.2098.1,overlapping,XM_004495858.3
STRG.2098.1,overlapping,XM_004495857.3
STRG.21.1,antisense,XM_004485444.3
STRG.210.1,intronic,XM_012715443.2
STRG.2100.1,intronic,XR_003472304.1
STRG.2101.1,overlapping,XM_004495885.2
STRG.2102.1,overlapping,XM_004495895.3
STRG.2103.1,overlapping,XM_004495898.3
STRG.2104.1,antisense,XM_004495899.3
STRG.2105.1,antisense,XM_004495902.3
STRG.2105.1,antisense,XM_004495908.3
STRG.2105.1,antisense,XM_027334090.1
STRG.2106.1,overlapping,XM_004495918.3
STRG.2107.1,antisense,XM_004495936.3
STRG.2107.1,intronic,XR_003472211.1
STRG.2108.1,antisense,XM_012714408.2
STRG.2108.1,antisense,XM_012714409.2
STRG.2109.1,overlapping,XM_004495945.3
STRG.211.1,antisense,XM_004486898.3
STRG.2111.1,intronic,XR_003472376.1
STRG.2111.1,intronic,XR_001143653.2
STRG.2112.1,antisense,XM_027333435.1
STRG.2112.1,antisense,XM_012714612.2
STRG.2113.1,antisense,XM_004496020.3
STRG.2114.1,intronic,XM_004496027.3
STRG.2114.1,intronic,XM_027333995.1
STRG.2114.1,intronic,XM_012714623.2
STRG.2116.1,antisense,XM_004496048.3
STRG.2117.1,overlapping,XM_004496059.3
STRG.2117.1,overlapping,XM_004496058.3
STRG.2118.1,antisense,XM_004496068.3
STRG.2119.1,overlapping,XR_003472243.1
STRG.2119.1,overlapping,XR_003472247.1
STRG.2119.1,antisense,XM_027333205.1
STRG.2119.1,overlapping,XM_027333208.1
STRG.2119.1,overlapping,XM_027333207.1
STRG.2119.1,overlapping,XM_004496067.3
STRG.2119.1,overlapping,XM_027333209.1
STRG.2119.1,overlapping,XR_003472241.1
STRG.2119.1,overlapping,XR_003472239.1
STRG.2119.1,overlapping,XR_003472242.1
STRG.2119.1,overlapping,XR_003472245.1
STRG.2119.1,overlapping,XR_003472248.1
STRG.2119.1,overlapping,XR_003472249.1
STRG.2119.1,overlapping,XR_003472244.1
STRG.2119.1,overlapping,XR_003472240.1
STRG.2119.1,overlapping,XR_003472246.1
STRG.212.1,overlapping,XM_004486915.3
STRG.212.1,overlapping,XM_004486916.3
STRG.212.2,overlapping,XM_004486915.3
STRG.212.2,overlapping,XM_004486916.3
STRG.2120.1,overlapping,XM_027333527.1
STRG.2121.1,intronic,XM_027333127.1
STRG.2122.1,overlapping,XM_027333129.1
STRG.2123.1,overlapping,XM_012714588.2
STRG.2123.1,overlapping,XM_004496087.3
STRG.2124.1,intronic,XM_027333192.1
STRG.2125.1,intronic,XR_003472212.1
STRG.2126.1,intronic,XM_027333990.1
STRG.2126.1,intronic,XM_004496108.3
STRG.2126.1,intronic,XM_004496109.3
STRG.2126.1,intronic,XM_027333989.1
STRG.2127.1,overlapping,XM_027334104.1
STRG.2128.1,overlapping,XM_012714594.2
STRG.2128.1,overlapping,XM_027334104.1
STRG.2128.1,overlapping,XM_027334103.1
STRG.2128.1,overlapping,XM_027334102.1
STRG.2129.1,intronic,XM_004496117.3
STRG.2129.1,overlapping,XR_003472322.1
STRG.213.1,antisense,XM_004486922.3
STRG.213.1,antisense,XM_004486921.3
STRG.2130.1,antisense,XM_004496121.3
STRG.2131.1,antisense,XM_004496134.3
STRG.2132.1,overlapping,XM_004496136.3
STRG.2134.1,overlapping,XR_003472303.1
STRG.2134.2,overlapping,XR_003472303.1
STRG.2135.1,antisense,XR_003472303.1
STRG.2136.1,overlapping,XM_027333975.1
STRG.2136.1,overlapping,XM_012714621.2
STRG.2136.1,overlapping,XR_001143657.2
STRG.2136.1,intronic,XM_004496143.3
STRG.2136.1,overlapping,XR_003472567.1
STRG.2136.1,overlapping,XR_003472566.1
STRG.2136.1,overlapping,XM_027333976.1
STRG.2137.1,intronic,XR_003472566.1
STRG.2137.1,intronic,XR_003472567.1
STRG.2137.1,intronic,XR_001143657.2
STRG.2137.1,intronic,XM_004496143.3
STRG.2138.1,intronic,XR_003472361.1
STRG.2138.1,intronic,XR_003472360.1
STRG.2138.1,overlapping,XM_027333517.1
STRG.2139.1,antisense,XM_027333898.1
STRG.2139.1,antisense,XM_004496154.3
STRG.214.1,antisense,XM_004486924.3
STRG.2140.1,overlapping,XR_001143650.2
STRG.2143.1,antisense,XM_004496167.3
STRG.2144.1,antisense,XM_004496167.3
STRG.2145.1,overlapping,XM_027333278.1
STRG.2145.1,overlapping,XM_027333279.1
STRG.2145.1,overlapping,XM_012714573.2
STRG.2145.1,overlapping,XM_004496174.3
STRG.2146.1,overlapping,XM_004496175.2
STRG.2147.1,antisense,XM_004496176.3
STRG.2147.1,antisense,XM_027333994.1
STRG.2148.1,overlapping,XM_004496178.3
STRG.2148.1,overlapping,XM_027333905.1
STRG.2148.1,overlapping,XM_012714626.2
STRG.2149.1,overlapping,XM_012714626.2
STRG.2149.1,overlapping,XM_004496178.3
STRG.2149.1,overlapping,XM_027333905.1
STRG.215.1,intronic,XR_003473696.1
STRG.2150.1,antisense,XM_012714604.2
STRG.2151.1,intronic,XR_003472619.1
STRG.2152.1,overlapping,XR_003472377.1
STRG.2153.1,overlapping,XM_004496207.3
STRG.2153.1,overlapping,XM_004496208.3
STRG.2153.1,overlapping,XM_004496209.3
STRG.2153.1,overlapping,XM_027334115.1
STRG.2153.1,overlapping,XM_004496205.3
STRG.2153.1,overlapping,XM_004496204.3
STRG.2153.2,overlapping,XM_004496205.3
STRG.2153.2,overlapping,XM_004496204.3
STRG.2153.2,overlapping,XM_004496209.3
STRG.2153.2,overlapping,XM_004496207.3
STRG.2153.2,overlapping,XM_004496208.3
STRG.2153.2,overlapping,XM_027334115.1
STRG.2153.3,overlapping,XM_004496204.3
STRG.2153.3,overlapping,XM_004496205.3
STRG.2153.3,overlapping,XM_004496207.3
STRG.2153.3,overlapping,XM_004496208.3
STRG.2153.3,overlapping,XM_027334115.1
STRG.2153.3,overlapping,XM_004496209.3
STRG.2154.1,intronic,XR_003472408.1
STRG.2157.1,overlapping,XM_027333141.1
STRG.2158.1,overlapping,XM_004496227.2
STRG.216.1,overlapping,XM_004486939.3
STRG.2160.1,antisense,XM_004496235.3
STRG.2161.1,antisense,XM_004496271.3
STRG.2162.1,overlapping,XM_027333778.1
STRG.2162.1,overlapping,XM_004496273.3
STRG.2163.1,antisense,XR_189660.3
STRG.2163.1,antisense,XM_004496281.3
STRG.2163.1,antisense,XM_004496280.2
STRG.2163.1,antisense,XM_027333953.1
STRG.2164.1,intronic,XR_003472625.1
STRG.2166.1,intronic,XR_001143668.2
STRG.2167.1,overlapping,XM_004496288.3
STRG.2167.2,overlapping,XM_004496288.3
STRG.2168.1,intronic,XM_004496307.3
STRG.2169.1,intronic,XR_003472190.1
STRG.2169.1,overlapping,XR_003472191.1
STRG.217.1,overlapping,XM_004486954.3
STRG.217.1,antisense,XM_012716227.2
STRG.217.1,overlapping,XM_027333282.1
STRG.217.1,overlapping,XM_004486953.3
STRG.2170.1,antisense,XM_004496333.3
STRG.2170.1,antisense,XM_027333971.1
STRG.2170.1,antisense,XM_027333973.1
STRG.2170.1,antisense,XM_004496331.3
STRG.2170.1,antisense,XM_027333972.1
STRG.2170.1,overlapping,XM_004496755.3
STRG.2171.1,overlapping,XM_027333318.1
STRG.2171.1,overlapping,XM_004496336.3
STRG.2172.1,antisense,XM_027333157.1
STRG.2173.1,antisense,XM_004496346.3
STRG.2174.1,antisense,XM_004496353.3
STRG.2175.1,overlapping,XM_004496362.3
STRG.2176.1,antisense,XM_027333158.1
STRG.2177.1,antisense,XM_004496366.3
STRG.2178.1,antisense,XM_004496369.3
STRG.2178.1,antisense,XM_004496367.3
STRG.2178.1,antisense,XM_004496368.3
STRG.2179.1,antisense,XM_027334062.1
STRG.2179.1,antisense,XM_012714645.2
STRG.218.1,overlapping,XM_004486973.3
STRG.2180.1,antisense,XM_004496390.3
STRG.2180.1,antisense,XM_004496764.1
STRG.2181.1,overlapping,XM_004496393.3
STRG.2181.1,overlapping,XM_004496392.3
STRG.2181.1,overlapping,XM_012714655.2
STRG.2182.1,overlapping,XR_001143667.2
STRG.2184.1,intronic,XR_001143666.2
STRG.2185.1,overlapping,XR_003472601.1
STRG.2185.1,overlapping,XR_003472599.1
STRG.2185.1,overlapping,XR_003472600.1
STRG.2185.1,overlapping,XR_003472603.1
STRG.2185.1,overlapping,XR_003472602.1
STRG.2186.1,intronic,XR_003472281.1
STRG.2188.1,intronic,XM_004496766.2
STRG.2189.1,intronic,XR_003472651.1
STRG.219.1,overlapping,XM_004486975.3
STRG.2190.1,intronic,XM_027333259.1
STRG.2192.1,overlapping,XM_004496436.3
STRG.2192.1,overlapping,XM_012714648.2
STRG.2193.1,overlapping,XM_004496450.3
STRG.2194.1,intronic,XM_012714739.2
STRG.2195.1,overlapping,XM_004496456.3
STRG.2196.1,intronic,XM_027333535.1
STRG.2196.1,intronic,XM_027333536.1
STRG.2197.1,overlapping,XM_004496464.3
STRG.2197.1,overlapping,XM_004496465.3
STRG.2198.1,intronic,XM_004496772.3
STRG.22.1,overlapping,XM_004485446.3
STRG.220.1,overlapping,XR_189309.3
STRG.2200.1,overlapping,XM_027333175.1
STRG.2200.1,antisense,XR_003472440.1
STRG.2200.1,overlapping,XM_004496773.3
STRG.2200.1,overlapping,XM_027333744.1
STRG.2201.1,intronic,XM_027333744.1
STRG.2201.1,intronic,XM_004496773.3
STRG.2202.1,intronic,XR_003472440.1
STRG.2202.1,antisense,XM_027333744.1
STRG.2203.1,antisense,XM_004496475.3
STRG.2203.1,overlapping,XM_004496474.3
STRG.2203.1,overlapping,XM_027333266.1
STRG.2204.1,overlapping,XM_004496489.3
STRG.2205.1,antisense,XM_004496490.3
STRG.2205.1,antisense,XM_004496491.3
STRG.2205.1,overlapping,XR_003472498.1
STRG.2206.1,overlapping,XR_001143665.2
STRG.2207.1,overlapping,XM_004496498.3
STRG.2208.1,overlapping,XM_027334159.1
STRG.2209.1,antisense,XM_004496513.3
STRG.2209.1,overlapping,XM_012714737.2
STRG.2209.1,overlapping,XM_027333681.1
STRG.2209.1,overlapping,XM_012714736.2
STRG.2209.1,overlapping,XM_027333680.1
STRG.2209.1,overlapping,XM_027333682.1
STRG.2209.1,antisense,XM_004496514.3
STRG.221.1,overlapping,XR_001143993.2
STRG.221.1,overlapping,XM_004486980.3
STRG.2211.1,antisense,XM_004496528.2
STRG.2212.1,overlapping,XM_004496531.3
STRG.2213.1,overlapping,XM_004496781.3
STRG.2214.1,overlapping,XM_004496541.2
STRG.2215.1,overlapping,XM_004496545.3
STRG.2215.1,overlapping,XM_004496544.3
STRG.2216.1,antisense,XM_027333193.1
STRG.2217.1,overlapping,XM_004496567.3
STRG.2218.1,intronic,XM_027333442.1
STRG.2219.1,intronic,XM_004496784.3
STRG.222.1,antisense,XM_004486983.3
STRG.2220.1,antisense,XM_004496586.3
STRG.2221.1,intronic,XM_004496787.3
STRG.2222.1,overlapping,XR_003472200.1
STRG.2223.1,antisense,XM_004496599.3
STRG.2223.1,antisense,XM_004496598.3
STRG.2224.1,intronic,XM_004496601.3
STRG.2225.1,intronic,XM_004496604.3
STRG.2226.1,intronic,XM_004496628.3
STRG.2227.1,intronic,XM_004496631.3
STRG.2228.1,antisense,XM_004496633.3
STRG.2228.1,antisense,XM_027333367.1
STRG.223.1,overlapping,XM_004486990.2
STRG.2230.1,overlapping,XR_003472374.1
STRG.2230.1,overlapping,XM_004496647.3
STRG.2231.1,overlapping,XR_003472199.1
STRG.2234.1,intronic,XR_003472350.1
STRG.2234.1,antisense,XM_004496649.3
STRG.2235.1,intronic,XM_004496651.3
STRG.2236.1,intronic,XR_001143660.2
